分野,問題,借方1科目,借方1金額,借方2科目,借方2金額,貸方1科目,貸方1金額,貸方2科目,貸方2金額,解説
内部処理,"今月のインターネット利用料￥9,000を普通預金から支払った。",通信費,9000,,,普通預金,9000,,,インターネット利用料は通信費（費用）です。
内部処理,"今月のインターネット利用料￥12,000を普通預金から支払った。",通信費,12000,,,普通預金,12000,,,インターネット利用料は通信費（費用）です。
内部処理,"今月のインターネット利用料￥10,000を普通預金から支払った。",通信費,10000,,,普通預金,10000,,,インターネット利用料は通信費（費用）です。
内部処理,"今月のインターネット利用料￥10,000を普通預金から支払った。",通信費,10000,,,普通預金,10000,,,インターネット利用料は通信費（費用）です。
内部処理,"今月の電気代￥11,000を現金で支払った。",水道光熱費,11000,,,現金,11000,,,電気代や水道代は、まとめて水道光熱費（費用）を使用します。
内部処理,"今月の電気代￥14,000を現金で支払った。",水道光熱費,14000,,,現金,14000,,,電気代や水道代は、まとめて水道光熱費（費用）を使用します。
内部処理,"今月の電気代￥12,000を現金で支払った。",水道光熱費,12000,,,現金,12000,,,電気代や水道代は、まとめて水道光熱費（費用）を使用します。
内部処理,"今月の電気代￥12,000を現金で支払った。",水道光熱費,12000,,,現金,12000,,,電気代や水道代は、まとめて水道光熱費（費用）を使用します。
内部処理,"従業員の給料￥270,000の支払いにあたり、所得税額￥35,000を差し引いて、現金で支払った。",給料,270000,,,所得税預り金,32000,現金,238000,"給料自体は￥300,000ですが、従業員に支払う前に、従業員が支払うべき所得税を差し引いてから現金で支払います。"
内部処理,"従業員の給料￥360,000の支払いにあたり、所得税額￥35,000を差し引いて、現金で支払った。",給料,360000,,,所得税預り金,42000,現金,318000,"給料自体は￥300,000ですが、従業員に支払う前に、従業員が支払うべき所得税を差し引いてから現金で支払います。"
内部処理,"従業員の給料￥300,000の支払いにあたり、所得税額￥35,000を差し引いて、現金で支払った。",給料,300000,,,所得税預り金,35000,現金,265000,"給料自体は￥300,000ですが、従業員に支払う前に、従業員が支払うべき所得税を差し引いてから現金で支払います。"
内部処理,"従業員の給料￥300,000の支払いにあたり、所得税額￥35,000を差し引いて、現金で支払った。",給料,300000,,,所得税預り金,35000,現金,265000,"給料自体は￥300,000ですが、従業員に支払う前に、従業員が支払うべき所得税を差し引いてから現金で支払います。"
資本・その他,"借用証書によって、現金￥450,000を貸し付けた。",貸付金,450000,,,現金,450000,,,誰かにお金を貸すと、自分の手元から現金（資産）がなくなるので、貸方に書きます。
資本・その他,"借用証書によって、現金￥600,000を貸し付けた。",貸付金,600000,,,現金,600000,,,誰かにお金を貸すと、自分の手元から現金（資産）がなくなるので、貸方に書きます。
資本・その他,"借用証書によって、現金￥500,000を貸し付けた。",貸付金,500000,,,現金,500000,,,誰かにお金を貸すと、自分の手元から現金（資産）がなくなるので、貸方に書きます。
資本・その他,"借用証書によって、現金￥500,000を貸し付けた。",貸付金,500000,,,現金,500000,,,誰かにお金を貸すと、自分の手元から現金（資産）がなくなるので、貸方に書きます。
資本・その他,"借用証書によって、￥189,000を貸し付けていたが、本日、利息￥10,000とともに現金で受け取った。",現金,189000,,,貸付金,180000,受取利息,9000,"受け取った￥210,000のうち、￥200,000は貸付金で、合わせて￥10,000の利息（受取利息）を受け取っているので、分けて書きます。"
資本・その他,"借用証書によって、￥252,000を貸し付けていたが、本日、利息￥10,000とともに現金で受け取った。",現金,252000,,,貸付金,240000,受取利息,12000,"受け取った￥210,000のうち、￥200,000は貸付金で、合わせて￥10,000の利息（受取利息）を受け取っているので、分けて書きます。"
資本・その他,"借用証書によって、￥200,000を貸し付けていたが、本日、利息￥10,000とともに現金で受け取った。",現金,210000,,,貸付金,200000,受取利息,10000,"受け取った￥210,000のうち、￥200,000は貸付金で、合わせて￥10,000の利息（受取利息）を受け取っているので、分けて書きます。"
資本・その他,"借用証書によって、￥200,000を貸し付けていたが、本日、利息￥10,000とともに現金で受け取った。",現金,210000,,,貸付金,200000,受取利息,10000,"受け取った￥210,000のうち、￥200,000は貸付金で、合わせて￥10,000の利息（受取利息）を受け取っているので、分けて書きます。"
資本・その他,"銀行より現金￥450,000を借り入れた。",現金,450000,,,借入金,450000,,,借金（借入金という負債）は増えますが、同時に、手元に現金（資産）が増えます。
資本・その他,"銀行より現金￥600,000を借り入れた。",現金,600000,,,借入金,600000,,,借金（借入金という負債）は増えますが、同時に、手元に現金（資産）が増えます。
資本・その他,"銀行より現金￥500,000を借り入れた。",現金,500000,,,借入金,500000,,,借金（借入金という負債）は増えますが、同時に、手元に現金（資産）が増えます。
資本・その他,"銀行より現金￥500,000を借り入れた。",現金,500000,,,借入金,500000,,,借金（借入金という負債）は増えますが、同時に、手元に現金（資産）が増えます。
資本・その他,"銀行より￥94,000を借り入れていたが、本日、利息￥5,000とともに現金で支払った。",借入金,90000,支払利息,4000,現金,94000,,,"支払った総額は￥105,000ですが、借入金そのものは￥100,000なので、￥5,000の利息（支払利息）と分けて書きます。"
資本・その他,"銀行より￥126,000を借り入れていたが、本日、利息￥5,000とともに現金で支払った。",借入金,120000,支払利息,6000,現金,126000,,,"支払った総額は￥105,000ですが、借入金そのものは￥100,000なので、￥5,000の利息（支払利息）と分けて書きます。"
資本・その他,"銀行より￥100,000を借り入れていたが、本日、利息￥5,000とともに現金で支払った。",借入金,100000,支払利息,5000,現金,105000,,,"支払った総額は￥105,000ですが、借入金そのものは￥100,000なので、￥5,000の利息（支払利息）と分けて書きます。"
資本・その他,"銀行より￥100,000を借り入れていたが、本日、利息￥5,000とともに現金で支払った。",借入金,100000,支払利息,5000,現金,105000,,,"支払った総額は￥105,000ですが、借入金そのものは￥100,000なので、￥5,000の利息（支払利息）と分けて書きます。"
資本・その他,"現金￥900,000 を元入れして開業した。",現金,900000,,,資本金,900000,,,「元入れ」というキーワードが出てきたら、必ず資本金（資本）です。
資本・その他,"現金￥1,200,000 を元入れして開業した。",現金,1200000,,,資本金,1200000,,,「元入れ」というキーワードが出てきたら、必ず資本金（資本）です。
資本・その他,"現金￥1,000,000 を元入れして開業した。",現金,1000000,,,資本金,1000000,,,「元入れ」というキーワードが出てきたら、必ず資本金（資本）です。
